"gender","ethnicity","birth","stark","star1","star2","star3","readk","read1","read2","read3","mathk","math1","math2","math3","lunchk","lunch1","lunch2","lunch3","schoolk","school1","school2","school3","degreek","degree1","degree2","degree3","ladderk","ladder1","ladder2","ladder3","experiencek","experience1","experience2","experience3","tethnicityk","tethnicity1","tethnicity2","tethnicity3","systemk","system1","system2","system3","schoolidk","schoolid1","schoolid2","schoolid3"
"male","cauc",1979 Q1,,,"regular+aide","regular+aide",,,554,572,,,674,622,,,"free","free",,,"rural","rural",,,"bachelor","bachelor",,,"level1","level1",,,6,17,,,"cauc","cauc",,,"14","14",,,"38","38"
"female","cauc",1980 Q2,"small","small",,,448,544,,,473,518,,,"free","free",,,"rural","rural",,,"master","master",,,"level1","level1",,,6,12,,,"cauc","cauc",,,"36","36",,,"72","72",,
"female","cauc",1978 Q4,,,"regular+aide","regular+aide",,,618,616,,,593,620,,,"free","free",,,"rural","urban",,,"master","master",,,"level1","level1",,,16,38,,,"cauc","cauc",,,"6","6",,,"8","9"
"female","cauc",1980 Q3,,,"regular+aide",,,,552,,,,,,,,"free",,,,"urban",,,,"master",,,,"level1",,,,18,,,,"cauc",,,,"7",,,,"10",
"male","cauc",1980 Q1,"regular",,,,411,,,,405,,,,"non-free",,,,"suburban",,,,"bachelor",,,,"level1",,,,11,,,,"cauc",,,,"22",,,,"51",,,
"female","cauc",1980 Q1,"regular","regular+aide","regular+aide","regular+aide",518,651,732,693,602,562,648,659,"non-free","non-free","non-free","free","rural","rural","rural","rural","master","bachelor","bachelor","bachelor","level1","level1","level1","notladder",12,20,19,2,"cauc","cauc","cauc","cauc","31","31","31","31","65","65","65","65"
"male","cauc",1979 Q4,"small","small",,"small",422,,,618,484,,,620,"free","free",,"free","rural","rural",,"rural","master","bachelor",,"bachelor","level1","level1",,"level1",6,12,,15,"cauc","cauc",,"afam","29","29",,"29","62","62",,"62"
"male","cauc",1980 Q1,,,,"regular",,,,543,,,,556,,,,"free",,,,"suburban",,,,"bachelor",,,,"level1",,,,11,,,,"cauc",,,,"25",,,,"58"
"male","cauc",1979 Q3,,"regular+aide","regular+aide",,,448,,,,425,,,,"free","non-free",,,"rural","rural",,,"master","bachelor",,,"level1","apprentice",,,6,2,,,"cauc","cauc",,,"12","12",,,"35","35",
"male","afam",1980 Q1,"small","small","small",,,487,596,,,523,574,,"free","free","free",,"inner-city","inner-city","inner-city",,"bachelor","bachelor","bachelor",,,"probation","level1",,3,1,8,,"cauc","cauc","cauc",,"18","18","18",,"45","45","45",
"male","cauc",1979 Q4,"small","small","small","small",470,579,614,614,547,592,607,667,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","bachelor","bachelor","master","bachelor","level1","level3","level1","level1",4,18,4,5,"cauc","cauc","cauc","cauc","5","5","5","5","7","7","7","7"
"male","afam",1980 Q1,"regular+aide",,,,443,,,,484,,,,"free",,,,"suburban",,,,"master",,,,"level1",,,,15,,,,"afam",,,,"11",,,,"21",,,
"female","afam",1979 Q4,,,"regular+aide","regular+aide",,,599,631,,,582,645,,,"free","non-free",,,"suburban","suburban",,,"bachelor","bachelor",,,"level1","level1",,,4,4,,,"afam","cauc",,,"11","11",,,"20","20"
"female","cauc",1980 Q3,"regular+aide","regular+aide",,,428,494,,,449,502,,,"free","free",,,"rural","rural",,,"master","master",,,"level1","level1",,,5,23,,,"cauc","cauc",,,"12","12",,,"34","34",,
"male","afam",1980 Q3,"small","small","small",,397,505,575,,454,515,561,,"free","free","free",,"inner-city","inner-city","inner-city",,"bachelor","master","bachelor",,"level1","level1","probation",,9,36,0,,"cauc","cauc","cauc",,"22","22","22",,"53","53","53",
"male","afam",1980 Q1,"regular+aide",,,,,,,,,,,,"free",,,,"suburban",,,,"master",,,,"level1",,,,15,,,,"afam",,,,"11",,,,"21",,,
"male","cauc",1978 Q4,,"regular","regular","regular",,505,573,606,,542,587,774,,"non-free","non-free","non-free",,"rural","rural","rural",,"bachelor","master","master",,"level1","level1","level2",,17,17,12,,"cauc","cauc","cauc",,"41","41","41",,"79","79","79"
"male","afam",1980 Q3,"regular+aide","regular+aide",,,,462,,,,493,,,"free","free",,,"inner-city","inner-city",,,"bachelor","master",,,"level1","level1",,,5,6,,,"afam","afam",,,"11","11",,,"28","28",,
"male","cauc",1980 Q1,"small","small","small","small",390,490,569,616,459,529,559,645,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","bachelor","master","master","master","apprentice","level1","level1","level1",1,10,18,11,"cauc","cauc","afam","cauc","24","24","24","24","57","57","57","57"
"male","afam",1980 Q1,"regular+aide","regular",,,418,,,,473,468,,,"free","free",,,"inner-city","inner-city",,,"bachelor","bachelor",,,"apprentice",,,,1,15,,,"cauc","afam",,,"11","11",,,"19","19",,
"female","cauc",1980 Q2,,,"regular","regular",,,669,693,,,648,684,,,,"non-free",,,"rural","rural",,,"bachelor","bachelor",,,"level1","level1",,,6,8,,,"cauc","cauc",,,"40","40",,,"77","77"
"male","afam",1979 Q4,"regular","regular+aide","regular+aide","regular+aide",470,514,557,595,484,529,568,594,"free","free","free","free","rural","rural","rural","rural","bachelor","bachelor","bachelor","master","level2","level1","level1","level1",10,9,23,15,"cauc","cauc","cauc","cauc","34","34","34","34","68","68","68","68"
"female","cauc",1980 Q1,"regular+aide","regular","regular","regular",431,530,614,680,513,572,632,684,"free","non-free","free","free","rural","rural","rural","rural","bachelor","bachelor","bachelor","master","level1","level1","apprentice","level1",3,12,2,5,"cauc","cauc","cauc","cauc","32","32","32","32","66","66","66","66"
"male","cauc",1980 Q1,,"regular+aide",,,,,,,,572,,,,"free",,,,"rural",,,,"bachelor",,,,"level3",,,,17,,,,"cauc",,,,"35",,,,"70",,
"female","afam",1980 Q1,"small","small","small","small",580,604,608,620,536,535,536,604,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","bachelor","bachelor","master","bachelor","level1","notladder","level1","level1",12,6,15,13,"cauc","cauc","cauc","cauc","21","21","21","21","50","50","49","49"
"female","cauc",1980 Q2,"small","small","small","small",456,536,618,606,478,532,577,626,"non-free","non-free","non-free","non-free","suburban","suburban","suburban","suburban","master","bachelor","master","bachelor","level1","level1","level1","apprentice",8,6,9,6,"cauc","cauc","cauc","cauc","25","25","25","25","58","58","58","58"
"female","afam",1980 Q2,"regular","regular","regular+aide","regular",,447,506,557,,490,500,608,"free","free","free","free","inner-city","inner-city","inner-city","inner-city","bachelor","bachelor",,"master","probation","probation",,"level3",0,5,,14,"afam","cauc",,"cauc","11","11","11","11","27","27","27","27"
"male","cauc",1979 Q3,,"regular","regular","regular",,474,591,592,,532,584,620,,"non-free","non-free","non-free",,"rural","rural","rural",,"master","bachelor","bachelor",,"level1","level1","level1",,13,20,28,,"cauc","cauc","cauc",,"40","40","40",,"77","77","77"
"female","afam",1979 Q4,,,,"small",,,,,,,,,,,,"free",,,,"inner-city",,,,"master",,,,"level1",,,,21,,,,"afam",,,,"11",,,,"15"
"female","afam",1980 Q3,"regular+aide","regular","regular","regular",433,564,627,644,513,601,639,672,"non-free","non-free","non-free","non-free","suburban","suburban","suburban","suburban","bachelor","bachelor","bachelor","master","level1","notladder","level3","level1",21,0,22,26,"afam","afam","cauc","cauc","11","11","11","11","23","23","23","23"
"male","cauc",1979 Q4,,"regular",,,,571,,,,549,,,,"free",,,,"suburban",,,,"master",,,,"level1",,,,10,,,,"cauc",,,,"28",,,,"61",,
"female","cauc",1980 Q3,"small","small","small",,403,,530,,473,518,568,,"non-free","non-free","non-free",,"rural","rural","rural",,"master","bachelor","bachelor",,"level1","level1","level2",,12,8,33,,"cauc","cauc","cauc",,"42","42","42",,"80","80","80",
"female","afam",1980 Q1,,,"regular","regular",,,566,578,,,607,616,,,"free","free",,,"suburban","suburban",,,"bachelor","bachelor",,,"level1","apprentice",,,10,4,,,"afam","cauc",,,"11","11",,,"21","21"
"male","cauc",1979 Q4,"small","small","small","small",408,524,557,582,473,535,559,603,"non-free","non-free","non-free","non-free","suburban","suburban","suburban","suburban","bachelor","master","bachelor","bachelor",,"notladder","level1","level1",15,16,10,6,"cauc","cauc","cauc","cauc","18","18","18","18","43","43","43","43"
"male","afam",1979 Q1,,"regular","regular",,,447,,,,461,,,,"free","free",,,"inner-city","inner-city",,,"bachelor","bachelor",,,"probation","level1",,,0,30,,,"cauc","afam",,,"11","11",,,"32","32",
"female","cauc",1980 Q1,"regular+aide",,,,416,,,,478,,,,"free",,,,"rural",,,,"master",,,,"level1",,,,8,,,,"cauc",,,,"38",,,,"74",,,
"female","afam",1980 Q3,,"regular+aide","regular+aide","regular+aide",,521,550,604,,500,565,620,,"free","non-free","free",,"suburban","suburban","suburban",,"master","bachelor","bachelor",,"level1","level1","level1",,20,12,14,,"cauc","cauc","afam",,"22","22","22",,"51","51","51"
"female","afam",1980 Q1,"regular","regular+aide","regular+aide","regular",443,519,566,604,484,490,554,583,"free","free","free","free","inner-city","inner-city","inner-city","inner-city","bachelor","master","bachelor","bachelor","apprentice","level3","level1","level1",1,24,11,20,"afam","afam","cauc","cauc","11","11","11","11","22","22","22","22"
"female","cauc",1980 Q4,,"regular+aide",,,,465,,,,507,,,,"free",,,,"rural",,,,"bachelor",,,,"level1",,,,3,,,,"cauc",,,,"23",,,,"55",,
"male","cauc",1979 Q3,"small","small",,,421,451,,,459,468,,,"non-free","non-free",,,"suburban","suburban",,,"master","bachelor",,,"level1","level1",,,20,16,,,"cauc","cauc",,,"11","11",,,"17","17",,
"male","cauc",1979 Q4,"small","small","small","small",442,527,591,633,536,549,563,603,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","bachelor","bachelor","bachelor","bachelor","level1","level1","notladder","level1",6,13,14,18,"cauc","cauc","cauc","cauc","35","35","35","35","69","69","69","69"
"female","cauc",1980 Q2,"regular+aide","regular+aide","regular+aide","regular+aide",424,509,566,620,528,529,593,610,"free","free","free","free","rural","rural","rural","rural","bachelor","master","bachelor","master","level1","level1","level1","level2",9,11,7,17,"cauc","afam","cauc","cauc","21","21","21","21","49","49","49","49"
"male","afam",1980 Q2,"regular",,,,421,,,,484,,,,"non-free",,,,"inner-city",,,,"bachelor",,,,"level1",,,,9,,,,"afam",,,,"11",,,,"18",,,
"male","cauc",1980 Q3,"regular","regular","regular","regular",450,524,618,633,494,529,570,603,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","bachelor","bachelor","master","bachelor",,"apprentice","level1","level1",5,2,12,5,"cauc","cauc","afam","cauc","1","1","1","1","1","1","1","1"
"male","afam",1980 Q3,"regular+aide",,,,397,,,,418,,,,"free",,,,"inner-city",,,,"bachelor",,,,"level1",,,,6,,,,"cauc",,,,"11",,,,"16",,,
"female","cauc",1979 Q1,,,"regular","regular",,,562,577,,,,567,,,"free","free",,,"rural","rural",,,"bachelor","bachelor",,,"level1","level1",,,9,8,,,"cauc","cauc",,,"4","4",,,"5","5"
"female","afam",1980 Q2,"regular","regular+aide","regular","small",450,,552,585,439,557,611,571,"free","free","free","free","inner-city","inner-city","inner-city","inner-city","bachelor","bachelor","master","master","probation","level1","probation","level2",0,24,24,9,"afam","afam","afam","afam","11","11","11","11","27","27","27","27"
"male","afam",1980 Q3,"regular","regular","regular","regular",410,512,566,597,473,538,541,559,"free","free","free","free","suburban","suburban","suburban","suburban","bachelor","bachelor","bachelor","bachelor",,"level1","notladder","level1",4,4,4,7,"cauc","cauc","afam","afam","11","11","11","11","20","20","20","20"
"female","cauc",1980 Q3,"small","small","small","small",510,604,659,693,626,601,699,700,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","bachelor","master","master",,"level1","level1","level1","level1",14,13,10,30,"cauc","cauc","cauc","cauc","38","38","38","38","74","74","74","74"
"female","cauc",1979 Q3,,"regular","regular",,,492,560,,,512,545,,,"free","free",,,"rural","rural",,,"bachelor","master",,,"level1","level1",,,17,17,,,"cauc","cauc",,,"41","41",,,"79","79",
"male","cauc",1980 Q2,"regular",,,,,,,,,,,,"non-free",,,,"rural",,,,"bachelor",,,,"level1",,,,2,,,,"cauc",,,,"40",,,,"76",,,
"male","afam",1980 Q3,"small","small",,,,431,,,,474,,,"free","free",,,"inner-city","inner-city",,,"bachelor","bachelor",,,"level1","level1",,,21,6,,,"afam","cauc",,,"11","11",,,"15","15",,
"male","afam",1980 Q1,"regular","regular+aide","regular+aide","regular+aide",418,516,532,602,423,507,577,639,"free","free","free","free","inner-city","inner-city","inner-city","inner-city","bachelor","bachelor","bachelor","master","level1","apprentice","apprentice","level2",12,1,1,11,"cauc","afam","cauc","afam","18","18","18","18","45","45","45","45"
"female","afam",1980 Q3,"regular+aide",,,,408,,,,444,,,,"free",,,,"inner-city",,,,"master",,,,"level1",,,,22,,,,"cauc",,,,"11",,,,"33",,,
"male","afam",1978 Q4,,"regular","regular","regular+aide",,474,520,580,,507,570,561,,"free","free","free",,"inner-city","inner-city","inner-city",,"bachelor","bachelor","master",,"level1","notladder","level3",,5,1,23,,"cauc","afam","afam",,"11","11","11",,"16","16","16"
"female","cauc",1979 Q2,,,,"regular+aide",,,,665,,,,663,,,,"free",,,,"urban",,,,"master",,,,"level1",,,,19,,,,"cauc",,,,"2",,,,"2"
"male","cauc",1980 Q3,,"small","small","small",,472,544,575,,481,494,573,,"non-free","non-free","free",,"rural","rural","rural",,"master","master","master",,"level1","level1","level2",,11,14,10,,"cauc","cauc","cauc",,"23","23","23",,"55","55","55"
"female","cauc",1980 Q3,"small",,,,467,,,,500,,,,"non-free",,,,"rural",,,,"bachelor",,,,"apprentice",,,,2,,,,"cauc",,,,"12",,,,"34",,,
"male","cauc",1980 Q3,"regular+aide",,"regular+aide","regular+aide",424,,559,593,444,,607,648,"free",,"free","free","rural",,"rural","rural","bachelor",,"master","master","level1",,"level1","level3",13,,27,19,"cauc",,"cauc","cauc","33",,"33","33","67",,"67","67"
"male","cauc",1980 Q3,"regular","regular","regular","regular",436,487,650,618,468,500,632,629,"non-free","non-free","non-free","non-free","suburban","suburban","suburban","suburban","bachelor","master","master","master","level1","level1","level1","level1",8,8,22,15,"cauc","cauc","cauc","cauc","4","4","4","4","4","4","4","4"
"female","afam",1980 Q1,"regular","regular",,,447,468,,,536,477,,,"free","free",,,"rural","rural",,,"master","bachelor",,,"level1","level1",,,6,21,,,"cauc","cauc",,,"30","30",,,"63","63",,
"male","cauc",1980 Q3,"small",,,,468,,,,494,,,,"non-free",,,,"suburban",,,,"bachelor",,,,,,,,3,,,,"cauc",,,,"18",,,,"44",,,
"male","cauc",1980 Q2,"small","small","small","small",,536,627,631,,532,559,603,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","master+","bachelor","master","bachelor","level1","level3","level1","level1",6,18,4,5,"cauc","cauc","cauc","cauc","5","5","5","5","7","7","7","7"
"male","cauc",1980 Q2,,"regular+aide",,,,544,,,,572,,,,"free",,,,"inner-city",,,,"bachelor",,,,"level1",,,,7,,,,"cauc",,,,"22",,,,"53",,
"male","afam",1978 Q4,,,"regular","regular",,,538,595,,,563,599,,,"free","free",,,"inner-city","inner-city",,,"master","bachelor",,,"probation","probation",,,0,0,,,"afam","afam",,,"11","11",,,"33","33"
"male","afam",1979 Q1,,"regular+aide","regular+aide","regular+aide",,453,511,,,486,495,,,"free","free","free",,"inner-city","inner-city","inner-city",,"master","master","master",,"level1","level3","level1",,4,16,11,,"cauc","cauc","afam",,"11","11","11",,"16","16","16"
"male","cauc",1978 Q3,,,"small","small",,,650,633,,,577,622,,,"non-free",,,,"suburban","suburban",,,"master","master",,,"level2","level3",,,11,18,,,"cauc","cauc",,,"28","28",,,"61","61"
"male","cauc",1980 Q2,,"regular","regular","regular",,465,591,620,,542,639,672,,"free","free","free",,"rural","rural","rural",,"bachelor","bachelor","master",,"level1","apprentice","level1",,12,2,5,,"cauc","cauc","cauc",,"32","32","32",,"66","66","66"
"male","cauc",1979 Q1,,,"regular+aide","regular+aide",,,622,626,,,648,663,,,"free","free",,,"rural","rural",,,"master","bachelor",,,"level1","level1",,,16,10,,,"cauc","cauc",,,"6","6",,,"8","8"
"female","cauc",1980 Q2,"small","small","small","small",430,558,596,622,473,562,550,618,"non-free","non-free","non-free","free","rural","rural","rural","rural","bachelor","bachelor","master","bachelor","level1","apprentice","level3","level3",15,2,14,16,"cauc","cauc","cauc","afam","23","23","23","23","55","55","55","55"
"male","afam",1980 Q1,"regular+aide","regular",,,388,474,,,454,481,,,"free","free",,,"rural","rural",,,"master+","bachelor",,,"level1","level1",,,12,21,,,"cauc","cauc",,,"30","30",,,"63","63",,
"female","cauc",1980 Q3,"regular+aide",,,,422,,,,449,,,,"free",,,,"suburban",,,,"bachelor",,,,,,,,2,,,,"cauc",,,,"11",,,,"25",,,
"male","afam",1980 Q3,"regular","regular","regular","regular",,492,579,631,,520,584,620,"non-free","non-free","non-free","non-free","suburban","suburban","suburban","suburban","bachelor","bachelor","bachelor","master","level1","notladder","level3","level1",20,0,22,26,"afam","afam","cauc","cauc","11","11","11","11","23","23","23","23"
"male","afam",1980 Q2,,"regular","regular","regular",,604,544,657,,562,620,636,,"free","free","free",,"inner-city","inner-city","inner-city",,"bachelor","bachelor","bachelor",,"probation","apprentice","apprentice",,0,1,3,,"afam","cauc","cauc",,"18","18","18",,"45","45","45"
"male","cauc",1980 Q3,"regular+aide","regular+aide",,,424,466,,,463,578,,,"non-free","non-free",,,"rural","rural",,,"master","master",,,"level1","notladder",,,9,20,,,"cauc","cauc",,,"3","3",,,"3","3",,
"female","cauc",1980 Q3,,"regular","small","small",,564,575,606,,584,568,648,,"non-free","non-free","non-free",,"inner-city","inner-city","inner-city",,"bachelor","bachelor","bachelor",,"notladder","apprentice","level1",,8,1,5,,"afam","cauc","cauc",,"22","22","22",,"53","53","53"
"male","cauc",1979 Q4,,,"regular","regular",,,627,680,,,565,663,,,"non-free","non-free",,,"suburban","suburban",,,"bachelor","bachelor",,,"level1","notladder",,,9,15,,,"cauc","afam",,,"22","22",,,"52","52"
"female","cauc",1980 Q2,"regular","regular+aide","regular+aide","regular+aide",442,604,650,636,489,572,599,667,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","master","master","master","bachelor","level1","level1","level1","level1",17,15,20,9,"cauc","cauc","cauc","cauc","12","12","12","12","34","34","34","34"
"male","cauc",1979 Q4,"small","small","small",,418,446,,,429,521,,,"non-free","non-free","non-free",,"suburban","suburban","suburban",,"bachelor","bachelor","bachelor",,"level1","level1","level1",,14,12,5,,"cauc","cauc","cauc",,"22","22","22",,"52","52","52",
"female","cauc",1979 Q4,"regular+aide","regular",,,447,492,,,454,497,,,"non-free","non-free",,,"suburban","suburban",,,"bachelor","bachelor",,,"level1","probation",,,17,0,,,"cauc","cauc",,,"25","25",,,"58","58",,
"female","afam",1979 Q4,,,"small","regular+aide",,,535,549,,,525,535,,,"free","free",,,"inner-city","inner-city",,,"bachelor","bachelor",,,"level1","notladder",,,8,17,,,"afam","afam",,,"11","11",,,"19","31"
"female","cauc",1980 Q2,"regular","regular","regular",,485,590,643,,536,532,599,,"non-free","non-free","non-free",,"suburban","suburban","suburban",,"master","master","bachelor",,"level3","notladder","level1",,15,18,4,,"cauc","cauc","cauc",,"17","17","17",,"41","41","41",
"male","afam",1980 Q3,"regular+aide","small","small","regular+aide",407,521,559,599,468,500,526,586,"free","free","non-free","free","inner-city","inner-city","inner-city","inner-city","bachelor","master","bachelor","master","level1","level1","probation","level2",6,30,3,13,"afam","afam","cauc","afam","11","11","11","11","26","26","26","26"
"female","cauc",1979 Q4,,,"regular","regular",,,586,602,,,570,616,,,"non-free","non-free",,,"suburban","suburban",,,"specialist","master",,,"level1","level1",,,15,20,,,"cauc","cauc",,,"17","17",,,"41","41"
"female","cauc",1979 Q4,"regular+aide",,,,431,,,,500,,,,"non-free",,,,"suburban",,,,"bachelor",,,,"level1",,,,8,,,,"afam",,,,"11",,,,"17",,,
"male","cauc",1980 Q2,"regular+aide","regular+aide","regular","regular",448,527,591,597,484,520,587,645,"free","free","free","free","rural","rural","rural","rural","bachelor","master","master","bachelor","level1","level1","level1","level1",9,11,15,9,"cauc","afam","cauc","cauc","21","21","30","30","49","49","63","63"
"male","asian",1980 Q2,,"small",,,,501,,,,515,,,,"non-free",,,,"suburban",,,,"bachelor",,,,"apprentice",,,,3,,,,"cauc",,,,"11",,,,"20",,
"female","afam",1980 Q1,"regular",,,,450,,,,547,,,,"free",,,,"suburban",,,,"bachelor",,,,,,,,4,,,,"cauc",,,,"11",,,,"20",,,
"female","cauc",1980 Q1,"regular+aide","regular","regular",,465,651,659,,536,578,611,,"non-free","non-free","non-free",,"rural","rural","rural",,"master","bachelor","bachelor",,"level1","apprentice","probation",,13,2,2,,"cauc","cauc","cauc",,"42","42","42",,"80","80","80",
"male","cauc",1980 Q3,"regular","regular+aide","regular+aide","regular+aide",408,468,588,588,454,490,565,550,"non-free",,"non-free","non-free","rural","rural","rural","rural","bachelor","bachelor","bachelor","master","apprentice","level1","level1","level1",3,6,23,15,"afam","cauc","cauc","cauc","24","24","24","24","56","56","56","56"
"female","cauc",1980 Q3,,,,"small",,,,,,,,,,,,"non-free",,,,"suburban",,,,"master",,,,"level1",,,,13,,,,"cauc",,,,"17",,,,"41"
"male","afam",1980 Q3,"regular+aide",,,,,,,,,,,,"free",,,,"suburban",,,,"bachelor",,,,,,,,2,,,,"cauc",,,,"11",,,,"25",,,
"female","cauc",1980 Q3,,,,"regular",,,,686,,,,700,,,,"non-free",,,,"suburban",,,,"bachelor",,,,"probation",,,,5,,,,"cauc",,,,"22",,,,"51"
"female","cauc",1980 Q1,,,"regular","regular",,,659,650,,,648,655,,,"free","free",,,"rural","rural",,,"bachelor","bachelor",,,"level1","level1",,,25,4,,,"cauc","cauc",,,"8","8",,,"11","11"
"male","afam",1980 Q3,,"regular+aide","regular+aide",,,501,564,,,493,565,,,"free","free",,,"inner-city","inner-city",,,"bachelor","master",,,"level1","level1",,,6,9,,,"cauc","afam",,,"11","11",,,"22","22",
"male","cauc",1980 Q1,,"regular",,,,416,,,,479,,,,"non-free",,,,"rural",,,,"bachelor",,,,"probation",,,,0,,,,"cauc",,,,"4",,,,"5",,
"female",,1980 Q2,,,"regular+aide",,,,,,,,,,,,"non-free",,,,"suburban",,,,"bachelor",,,,"level1",,,,12,,,,"cauc",,,,"22",,,,"51",
"male","afam",1980 Q2,,"regular+aide","regular+aide","regular+aide",,540,588,590,,549,596,672,,"free","free","non-free",,"inner-city","inner-city","inner-city",,"bachelor","bachelor","bachelor",,"probation","level1","probation",,17,10,0,,"afam","afam","cauc",,"11","11","11",,"14","14","14"
"female","cauc",1980 Q2,"regular+aide","regular+aide","regular+aide","regular",431,512,538,,463,495,522,,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","bachelor","bachelor","bachelor","bachelor","level1","level1","level1","level1",13,8,13,26,"cauc","cauc","cauc","cauc","32","32","32","32","66","66","66","66"
"male","afam",1980 Q3,"regular+aide","regular+aide",,,434,514,,,473,488,,,"free","free",,,"inner-city","inner-city",,,"master","bachelor",,,"level1","notladder",,,5,36,,,"cauc","afam",,,"11","11",,,"33","33",,
"female","cauc",1980 Q1,"small","small","small","small",434,521,591,629,489,545,626,651,"non-free","non-free","non-free",,"suburban","suburban","suburban","suburban","bachelor","master","master","master","level1","level1","level2","level3",11,12,11,18,"cauc","cauc","cauc","cauc","28","28","28","28","61","61","61","61"
"female","cauc",1980 Q2,"small","small","small","small",465,558,599,592,528,567,620,618,"free","free","free","free","rural","rural","rural","rural","bachelor","bachelor","bachelor","bachelor","level1","level1","level1","level1",7,7,20,20,"cauc","cauc","cauc","cauc","30","30","30","30","63","63","63","63"
"female","afam",1979 Q1,,,"regular+aide","regular",,,596,583,,,545,562,,,"free","free",,,"inner-city","inner-city",,,"bachelor","bachelor",,,"notladder","level1",,,,5,,,"afam","cauc",,,"11","11",,,"19","19"
"male","afam",1979 Q3,,,,"small",,,,570,,,,618,,,,"free",,,,"inner-city",,,,"bachelor",,,,"probation",,,,2,,,,"afam",,,,"11",,,,"26"
"female","afam",1980 Q3,"regular",,,,407,,,,489,,,,"free",,,,"inner-city",,,,"bachelor",,,,"level1",,,,10,,,,"afam",,,,"11",,,,"30",,,
"female","cauc",1980 Q1,"small",,,,431,,,,478,,,,"non-free",,,,"rural",,,,"master",,,,"level1",,,,12,,,,"cauc",,,,"4",,,,"6",,,
"female","cauc",1979 Q2,,,,"regular+aide",,,,600,,,,573,,,,"free",,,,"suburban",,,,"bachelor",,,,"level1",,,,18,,,,"cauc",,,,"18",,,,"44"
"female","cauc",1980 Q3,,"regular","regular","regular",,521,622,629,,545,615,655,,"free","free","non-free",,"rural","rural","rural",,"bachelor","bachelor","bachelor",,"level1","level1","level1",,16,13,4,,"cauc","cauc","cauc",,"8","8","8",,"11","11","11"
"male","cauc",1979 Q2,,,"regular",,,,,,,,,,,,"free",,,,"rural",,,,"master",,,,"level3",,,,18,,,,"cauc",,,,"35",,,,"70",
"female","afam",1979 Q4,,"regular+aide","regular+aide","regular+aide",,483,538,577,,458,497,589,,"free","free","free",,"inner-city","inner-city","inner-city",,"master","master","bachelor",,"notladder",,"level1",,27,2,26,,"afam","cauc","afam",,"11","11","11",,"19","19","19"
"male","afam",1980 Q1,"regular",,,,393,,,,473,,,,"non-free",,,,"inner-city",,,,"bachelor",,,,"level1",,,,9,,,,"afam",,,,"11",,,,"18",,,
"male","afam",1978 Q3,,,,"regular+aide",,,,614,,,,639,,,,"non-free",,,,"suburban",,,,"master",,,,"level2",,,,28,,,,"cauc",,,,"11",,,,"20"
"female","afam",1980 Q2,,"regular","regular+aide","regular+aide",,499,564,612,,545,561,610,,"free","non-free","free",,"rural","rural","rural",,"bachelor","bachelor","master",,"probation","apprentice","level1",,1,2,15,,"cauc","cauc","cauc",,"34","34","34",,"68","68","68"
"female","afam",1980 Q2,"regular",,,,360,,,,320,,,,"free",,,,"inner-city",,,,"master",,,,"probation",,,,6,,,,"cauc",,,,"11",,,,"33",,,
"male","cauc",1978 Q2,,,"small",,,,523,,,,546,,,,"free",,,,"rural",,,,"bachelor",,,,"level1",,,,11,,,,"cauc",,,,"31",,,,"65",
"female","afam",1978 Q3,,"regular+aide",,,,,,,,,,,,"free",,,,"inner-city",,,,"bachelor",,,,"notladder",,,,36,,,,"afam",,,,"11",,,,"33",,
"male","cauc",1979 Q2,,,,"small",,,,604,,,,612,,,,"non-free",,,,"rural",,,,"bachelor",,,,"apprentice",,,,2,,,,"cauc",,,,"42",,,,"80"
"male","cauc",1979 Q4,"regular","regular+aide","regular+aide","regular+aide",408,477,573,557,463,515,550,591,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","bachelor","bachelor","master","master","apprentice","level1","level1","level2",1,18,15,15,"cauc","cauc","cauc","cauc","40","40","40","40","76","77","77","77"
"male","afam",1980 Q3,"small","small",,,518,590,,,602,553,,,"free","free",,,"inner-city","inner-city",,,"bachelor","bachelor",,,"level1","level1",,,3,6,,,"afam","afam",,,"11","11",,,"22","22",,
"female","cauc",1980 Q1,"regular","regular+aide","small","small",436,521,566,,500,553,574,,"non-free","non-free","non-free",,"rural","rural","rural","rural","bachelor","bachelor","master","bachelor","apprentice","level1","level3","level3",1,18,14,16,"cauc","cauc","cauc","afam","40","40","23","23","76","77","55","55"
"male","afam",1980 Q3,"regular","regular",,,403,454,,,444,481,,,"free","free",,,"suburban","suburban",,,"bachelor","bachelor",,,"level1","level1",,,0,16,,,"cauc","cauc",,,"11","11",,,"17","17",,
"female","cauc",1979 Q4,"small","small","small","small",485,579,582,654,528,578,632,684,"non-free",,"non-free","non-free","rural","rural","rural","rural","master","bachelor","bachelor","master","level1","level1",,"level1",8,7,0,12,"cauc","cauc","cauc","cauc","34","34","34","34","68","68","68","68"
